coach_name,coach_id,class_start_time,class_day_of_week,class_date,class_type,muscle_focus_upper,muscle_focus_lower,client_name,client_id,subscription_plan
Alex Blake,C008,19:45,Monday,2025-04-14,Focus,Back,Center Glutes,Harper Lee,CL001,unlimited
Dette Ellis,C013,10:00,Thursday,2025-04-17,Foundation,Back,Outer Glutes,Harper Lee,CL001,unlimited
Avery Harve,C002,12:30,Saturday,2025-04-19,Foundation,Biceps,Hamstrings,Harper Lee,CL001,unlimited
Hayden Klo,C001,06:15,Sunday,2025-04-20,Advanced,Back,Leg Wrap,Harper Lee,CL001,unlimited
Alex Blake,C008,18:15,Monday,2025-04-21,Focus,Shoulders,Center Glutes,Harper Lee,CL001,unlimited
Tylor Tquinn,C007,12:15,Monday,2025-04-28,Focus,Arm Wrap,Leg Wrap,Harper Lee,CL001,unlimited
Dette Ellis,C013,18:15,Tuesday,2025-04-29,Foundation,Back,Center Glutes,Harper Lee,CL001,unlimited
Hayden Klo,C001,12:00,Wednesday,2025-04-30,Focus,Shoulders,Outer Glutes,Harper Lee,CL001,unlimited
Alex Blake,C008,07:30,Sunday,2025-05-04,Foundation,Triceps,Outer Glutes,Harper Lee,CL001,unlimited
Kendall Jones,C015,07:15,Monday,2025-05-05,Foundation,Shoulders,Hamstrings,Harper Lee,CL001,unlimited
Phoenix Green,C012,11:00,Tuesday,2025-05-06,Focus,Triceps,Center Glutes,Harper Lee,CL001,unlimited
Tylor Tquinn,C007,06:15,Thursday,2025-05-08,Advanced,Shoulders,Leg Wrap,Harper Lee,CL001,unlimited
Jon Flynn,C014,17:45,Friday,2025-05-09,Foundation,Triceps,Outer Glutes,Harper Lee,CL001,unlimited
Dette Ellis,C013,17:45,Sunday,2025-05-11,Focus,Back,Hamstrings,Harper Lee,CL001,unlimited
Alex Blake,C008,12:30,Wednesday,2025-05-14,Focus,Arm Wrap,Center Glutes,Harper Lee,CL001,unlimited
Benton Watts,C006,17:15,Thursday,2025-05-15,Advanced,Biceps,Leg Wrap,Harper Lee,CL001,unlimited
Kendall Jones,C015,17:00,Friday,2025-05-16,Foundation,Shoulders,Hamstrings,Harper Lee,CL001,unlimited
Jon Flynn,C014,19:15,Saturday,2025-05-17,Foundation,Shoulders,Outer Glutes,Harper Lee,CL001,unlimited
Casey Hugh,C004,19:30,Sunday,2025-05-18,Foundation,Shoulders,Outer Glutes,Harper Lee,CL001,unlimited
Dette Ellis,C013,18:30,Monday,2025-05-19,Advanced,Shoulders,Leg Wrap,Harper Lee,CL001,unlimited
Phoenix Green,C012,06:30,Tuesday,2025-05-20,Foundation,Arm Wrap,Leg Wrap,Harper Lee,CL001,unlimited
Dette Ellis,C013,05:15,Wednesday,2025-05-21,Foundation,Arm Wrap,Hamstrings,Harper Lee,CL001,unlimited
Casey Hugh,C004,09:45,Friday,2025-05-23,Focus,Back,Hamstrings,Harper Lee,CL001,unlimited
Alex Blake,C008,13:30,Saturday,2025-05-24,Foundation,Back,Leg Wrap,Harper Lee,CL001,unlimited
Dette Ellis,C013,10:30,Tuesday,2025-05-27,Foundation,Arm Wrap,Outer Glutes,Harper Lee,CL001,unlimited
Morgan Patel,C010,17:45,Thursday,2025-05-29,Advanced,Biceps,Leg Wrap,Harper Lee,CL001,unlimited
Morgan Patel,C010,12:00,Friday,2025-05-30,Focus,Triceps,Leg Wrap,Harper Lee,CL001,unlimited
Phoenix Green,C012,09:45,Sunday,2025-06-01,Foundation,Back,Outer Glutes,Harper Lee,CL001,unlimited
Morgan Patel,C010,20:45,Monday,2025-06-02,Focus,Back,Outer Glutes,Harper Lee,CL001,unlimited
Benton Watts,C006,12:00,Tuesday,2025-06-03,Foundation,Shoulders,Hamstrings,Harper Lee,CL001,unlimited
Dette Ellis,C013,19:45,Wednesday,2025-06-04,Foundation,Shoulders,Outer Glutes,Harper Lee,CL001,unlimited
Finley Yaroslavsky,C003,20:15,Friday,2025-06-06,Foundation,Triceps,Outer Glutes,Harper Lee,CL001,unlimited
Devon Knight,C005,13:00,Saturday,2025-06-07,Focus,Biceps,Leg Wrap,Harper Lee,CL001,unlimited
Casey Hugh,C004,18:45,Sunday,2025-06-08,Focus,Biceps,Center Glutes,Harper Lee,CL001,unlimited
Sydney Romero,C011,20:45,Wednesday,2025-06-11,Advanced,Arm Wrap,Outer Glutes,Harper Lee,CL001,unlimited
Casey Hugh,C004,17:15,Thursday,2025-06-12,Foundation,Back,Outer Glutes,Harper Lee,CL001,unlimited
Alex Blake,C008,21:30,Saturday,2025-06-14,Focus,Back,Outer Glutes,Harper Lee,CL001,unlimited
Benton Watts,C006,19:30,Monday,2025-06-16,Foundation,Biceps,Leg Wrap,Harper Lee,CL001,unlimited
Phoenix Green,C012,11:30,Tuesday,2025-06-17,Foundation,Back,Hamstrings,Harper Lee,CL001,unlimited
Casey Hugh,C004,11:45,Wednesday,2025-06-18,Foundation,Back,Outer Glutes,Harper Lee,CL001,unlimited
Avery Harve,C002,11:30,Thursday,2025-06-19,Foundation,Biceps,Outer Glutes,Harper Lee,CL001,unlimited
Hayden Klo,C001,09:30,Friday,2025-06-20,Foundation,Arm Wrap,Outer Glutes,Harper Lee,CL001,unlimited
Phoenix Green,C012,09:45,Sunday,2025-06-22,Foundation,Arm Wrap,Outer Glutes,Harper Lee,CL001,unlimited
Alex Blake,C008,20:45,Wednesday,2025-06-25,Foundation,Arm Wrap,Outer Glutes,Harper Lee,CL001,unlimited
Jon Flynn,C014,20:00,Thursday,2025-06-26,Advanced,Shoulders,Center Glutes,Harper Lee,CL001,unlimited
Avery Harve,C002,06:15,Friday,2025-06-27,Foundation,Back,Outer Glutes,Harper Lee,CL001,unlimited
Jon Flynn,C014,18:30,Friday,2025-07-04,Focus,Arm Wrap,Leg Wrap,Harper Lee,CL001,unlimited
Dette Ellis,C013,11:15,Tuesday,2025-07-08,Foundation,Arm Wrap,Hamstrings,Harper Lee,CL001,unlimited
Casey Hugh,C004,10:00,Thursday,2025-07-10,Foundation,Shoulders,Center Glutes,Harper Lee,CL001,unlimited
Phoenix Green,C012,20:30,Sunday,2025-07-13,Foundation,Triceps,Outer Glutes,Harper Lee,CL001,unlimited
Phoenix Green,C012,19:00,Monday,2025-07-14,Focus,Triceps,Hamstrings,Harper Lee,CL001,unlimited
Tylor Tquinn,C007,08:15,Tuesday,2025-07-15,Focus,Triceps,Hamstrings,Harper Lee,CL001,unlimited
Avery Harve,C002,06:15,Thursday,2025-07-17,Advanced,Back,Outer Glutes,Harper Lee,CL001,unlimited
Alex Blake,C008,08:45,Friday,2025-07-18,Focus,Shoulders,Outer Glutes,Harper Lee,CL001,unlimited
Riley Chen,C009,20:45,Sunday,2025-07-20,Foundation,Arm Wrap,Center Glutes,Harper Lee,CL001,unlimited
Phoenix Green,C012,15:30,Thursday,2025-07-24,Foundation,Biceps,Leg Wrap,Harper Lee,CL001,unlimited
Dette Ellis,C013,13:00,Friday,2025-07-25,Advanced,Biceps,Center Glutes,Harper Lee,CL001,unlimited
Riley Chen,C009,19:30,Saturday,2025-07-26,Foundation,Back,Center Glutes,Harper Lee,CL001,unlimited
Sydney Romero,C011,20:00,Monday,2025-07-28,Focus,Shoulders,Outer Glutes,Harper Lee,CL001,unlimited
Benton Watts,C006,08:15,Thursday,2025-07-31,Foundation,Shoulders,Outer Glutes,Harper Lee,CL001,unlimited
Casey Hugh,C004,21:30,Friday,2025-08-01,Focus,Shoulders,Center Glutes,Harper Lee,CL001,unlimited
Dette Ellis,C013,06:15,Saturday,2025-08-02,Foundation,Biceps,Outer Glutes,Harper Lee,CL001,unlimited
Alex Blake,C008,20:00,Sunday,2025-08-03,Foundation,Back,Hamstrings,Harper Lee,CL001,unlimited
Phoenix Green,C012,10:30,Monday,2025-08-04,Focus,Back,Center Glutes,Harper Lee,CL001,unlimited
Avery Harve,C002,12:00,Thursday,2025-08-07,Focus,Arm Wrap,Hamstrings,Harper Lee,CL001,unlimited
Alex Blake,C008,14:30,Saturday,2025-08-09,Focus,Shoulders,Center Glutes,Harper Lee,CL001,unlimited
Casey Hugh,C004,19:15,Monday,2025-08-11,Foundation,Back,Hamstrings,Harper Lee,CL001,unlimited
Jon Flynn,C014,07:30,Wednesday,2025-08-13,Advanced,Shoulders,Outer Glutes,Harper Lee,CL001,unlimited
Kendall Jones,C015,21:30,Friday,2025-08-15,Advanced,Triceps,Outer Glutes,Harper Lee,CL001,unlimited
Jon Flynn,C014,20:15,Sunday,2025-08-17,Focus,Shoulders,Outer Glutes,Harper Lee,CL001,unlimited
Benton Watts,C006,17:45,Monday,2025-08-18,Advanced,Biceps,Hamstrings,Harper Lee,CL001,unlimited
Morgan Patel,C010,17:15,Saturday,2025-08-23,Advanced,Shoulders,Leg Wrap,Harper Lee,CL001,unlimited
Benton Watts,C006,20:45,Monday,2025-08-25,Foundation,Biceps,Center Glutes,Harper Lee,CL001,unlimited
Hayden Klo,C001,09:30,Wednesday,2025-08-27,Advanced,Shoulders,Leg Wrap,Harper Lee,CL001,unlimited
Riley Chen,C009,19:00,Thursday,2025-08-28,Focus,Shoulders,Hamstrings,Harper Lee,CL001,unlimited
Avery Harve,C002,20:30,Friday,2025-08-29,Foundation,Shoulders,Leg Wrap,Harper Lee,CL001,unlimited
Jon Flynn,C014,15:45,Saturday,2025-08-30,Advanced,Shoulders,Leg Wrap,Harper Lee,CL001,unlimited
Morgan Patel,C010,07:15,Sunday,2025-08-31,Focus,Triceps,Hamstrings,Harper Lee,CL001,unlimited
Finley Yaroslavsky,C003,12:45,Monday,2025-09-01,Focus,Biceps,Hamstrings,Harper Lee,CL001,unlimited
Finley Yaroslavsky,C003,07:45,Tuesday,2025-09-02,Focus,Biceps,Center Glutes,Harper Lee,CL001,unlimited
Kendall Jones,C015,09:15,Wednesday,2025-09-03,Focus,Triceps,Center Glutes,Harper Lee,CL001,unlimited
Devon Knight,C005,05:45,Thursday,2025-09-04,Advanced,Back,Hamstrings,Harper Lee,CL001,unlimited
Avery Harve,C002,19:30,Saturday,2025-09-06,Advanced,Triceps,Center Glutes,Harper Lee,CL001,unlimited
Phoenix Green,C012,13:45,Sunday,2025-09-07,Advanced,Biceps,Center Glutes,Harper Lee,CL001,unlimited
Jon Flynn,C014,20:00,Wednesday,2025-09-10,Foundation,Back,Outer Glutes,Harper Lee,CL001,unlimited
Morgan Patel,C010,14:30,Thursday,2025-09-11,Foundation,Shoulders,Outer Glutes,Harper Lee,CL001,unlimited
Hayden Klo,C001,06:45,Sunday,2025-09-14,Advanced,Triceps,Hamstrings,Harper Lee,CL001,unlimited
Morgan Patel,C010,16:15,Monday,2025-09-15,Focus,Back,Outer Glutes,Harper Lee,CL001,unlimited
Sydney Romero,C011,09:00,Friday,2025-09-19,Advanced,Arm Wrap,Outer Glutes,Harper Lee,CL001,unlimited
Dette Ellis,C013,19:00,Sunday,2025-09-21,Focus,Biceps,Leg Wrap,Harper Lee,CL001,unlimited
Kendall Jones,C015,14:30,Monday,2025-09-22,Focus,Biceps,Hamstrings,Harper Lee,CL001,unlimited
Finley Yaroslavsky,C003,16:30,Tuesday,2025-09-23,Advanced,Triceps,Center Glutes,Harper Lee,CL001,unlimited
Dette Ellis,C013,14:30,Thursday,2025-09-25,Advanced,Shoulders,Leg Wrap,Harper Lee,CL001,unlimited
Finley Yaroslavsky,C003,12:45,Friday,2025-09-26,Advanced,Back,Outer Glutes,Harper Lee,CL001,unlimited
Avery Harve,C002,17:00,Saturday,2025-09-27,Foundation,Arm Wrap,Center Glutes,Harper Lee,CL001,unlimited
Benton Watts,C006,13:45,Sunday,2025-09-28,Advanced,Triceps,Leg Wrap,Harper Lee,CL001,unlimited
Devon Knight,C005,20:00,Wednesday,2025-10-01,Foundation,Back,Hamstrings,Harper Lee,CL001,unlimited
Tylor Tquinn,C007,19:30,Friday,2025-10-03,Focus,Back,Center Glutes,Harper Lee,CL001,unlimited
Morgan Patel,C010,09:45,Saturday,2025-10-04,Focus,Shoulders,Center Glutes,Harper Lee,CL001,unlimited
Devon Knight,C005,06:30,Sunday,2025-10-05,Foundation,Shoulders,Hamstrings,Harper Lee,CL001,unlimited
Jon Flynn,C014,16:00,Wednesday,2025-10-08,Advanced,Triceps,Outer Glutes,Harper Lee,CL001,unlimited
Hayden Klo,C001,17:30,Friday,2025-10-10,Foundation,Arm Wrap,Center Glutes,Harper Lee,CL001,unlimited
Avery Harve,C002,11:00,Saturday,2025-10-11,Foundation,Triceps,Hamstrings,Harper Lee,CL001,unlimited
Finley Yaroslavsky,C003,11:00,Tuesday,2025-10-14,Advanced,Back,Hamstrings,Harper Lee,CL001,unlimited
Morgan Patel,C010,11:15,Wednesday,2025-10-15,Foundation,Biceps,Leg Wrap,Harper Lee,CL001,unlimited
Devon Knight,C005,09:15,Thursday,2025-10-16,Focus,Biceps,Leg Wrap,Harper Lee,CL001,unlimited
Sydney Romero,C011,05:15,Saturday,2025-10-18,Foundation,Biceps,Outer Glutes,Harper Lee,CL001,unlimited
Hayden Klo,C001,10:30,Monday,2025-10-20,Foundation,Shoulders,Leg Wrap,Harper Lee,CL001,unlimited
Phoenix Green,C012,07:45,Tuesday,2025-10-21,Focus,Triceps,Leg Wrap,Harper Lee,CL001,unlimited
Alex Blake,C008,21:15,Thursday,2025-10-23,Advanced,Arm Wrap,Outer Glutes,Harper Lee,CL001,unlimited
Alex Blake,C008,05:00,Saturday,2025-10-25,Advanced,Shoulders,Center Glutes,Harper Lee,CL001,unlimited
Sydney Romero,C011,08:45,Tuesday,2025-10-28,Focus,Shoulders,Leg Wrap,Harper Lee,CL001,unlimited
Kendall Jones,C015,07:30,Wednesday,2025-10-29,Focus,Arm Wrap,Hamstrings,Harper Lee,CL001,unlimited
Devon Knight,C005,15:45,Friday,2025-10-31,Advanced,Back,Outer Glutes,Harper Lee,CL001,unlimited
Jon Flynn,C014,19:45,Tuesday,2025-11-04,Focus,Arm Wrap,Outer Glutes,Harper Lee,CL001,unlimited
Tylor Tquinn,C007,15:30,Thursday,2025-11-06,Foundation,Biceps,Center Glutes,Harper Lee,CL001,unlimited
Avery Harve,C002,07:00,Friday,2025-11-07,Foundation,Arm Wrap,Outer Glutes,Harper Lee,CL001,unlimited
Dette Ellis,C013,09:00,Saturday,2025-11-08,Focus,Back,Outer Glutes,Harper Lee,CL001,unlimited
Sydney Romero,C011,08:45,Friday,2025-11-14,Foundation,Shoulders,Leg Wrap,Harper Lee,CL001,unlimited
Devon Knight,C005,14:30,Saturday,2025-11-15,Foundation,Back,Hamstrings,Harper Lee,CL001,unlimited
Finley Yaroslavsky,C003,20:15,Monday,2025-11-17,Advanced,Triceps,Outer Glutes,Harper Lee,CL001,unlimited
Avery Harve,C002,13:15,Tuesday,2025-11-18,Advanced,Back,Leg Wrap,Harper Lee,CL001,unlimited
Morgan Patel,C010,13:00,Wednesday,2025-11-19,Foundation,Triceps,Outer Glutes,Harper Lee,CL001,unlimited
Benton Watts,C006,05:15,Thursday,2025-11-20,Advanced,Back,Center Glutes,Harper Lee,CL001,unlimited
Avery Harve,C002,09:00,Friday,2025-11-21,Foundation,Back,Hamstrings,Harper Lee,CL001,unlimited
Tylor Tquinn,C007,18:45,Sunday,2025-11-23,Foundation,Triceps,Outer Glutes,Harper Lee,CL001,unlimited
Phoenix Green,C012,15:00,Tuesday,2025-11-25,Advanced,Biceps,Hamstrings,Harper Lee,CL001,unlimited
Dette Ellis,C013,06:00,Wednesday,2025-11-26,Foundation,Shoulders,Center Glutes,Harper Lee,CL001,unlimited
Morgan Patel,C010,19:45,Thursday,2025-11-27,Foundation,Back,Leg Wrap,Harper Lee,CL001,unlimited
Benton Watts,C006,18:00,Friday,2025-11-28,Foundation,Back,Center Glutes,Harper Lee,CL001,unlimited
Alex Blake,C008,18:15,Monday,2025-12-01,Foundation,Back,Hamstrings,Harper Lee,CL001,unlimited
Riley Chen,C009,16:00,Tuesday,2025-12-02,Foundation,Arm Wrap,Center Glutes,Harper Lee,CL001,unlimited
Hayden Klo,C001,19:00,Wednesday,2025-12-03,Advanced,Back,Center Glutes,Harper Lee,CL001,unlimited
Morgan Patel,C010,17:45,Thursday,2025-12-04,Foundation,Shoulders,Leg Wrap,Harper Lee,CL001,unlimited
Benton Watts,C006,10:45,Friday,2025-12-05,Advanced,Triceps,Leg Wrap,Harper Lee,CL001,unlimited
Tylor Tquinn,C007,08:15,Sunday,2025-12-07,Focus,Shoulders,Leg Wrap,Harper Lee,CL001,unlimited
Tylor Tquinn,C007,14:30,Monday,2025-12-08,Foundation,Biceps,Leg Wrap,Harper Lee,CL001,unlimited
Riley Chen,C009,08:15,Tuesday,2025-12-09,Advanced,Triceps,Outer Glutes,Harper Lee,CL001,unlimited
Phoenix Green,C012,09:15,Wednesday,2025-12-10,Foundation,Triceps,Hamstrings,Harper Lee,CL001,unlimited
Finley Yaroslavsky,C003,09:00,Thursday,2025-12-11,Foundation,Shoulders,Center Glutes,Harper Lee,CL001,unlimited
Dette Ellis,C013,19:30,Friday,2025-12-12,Advanced,Triceps,Hamstrings,Harper Lee,CL001,unlimited
Alex Blake,C008,07:45,Saturday,2025-12-13,Focus,Triceps,Outer Glutes,Harper Lee,CL001,unlimited
Morgan Patel,C010,06:30,Sunday,2025-12-14,Focus,Triceps,Center Glutes,Harper Lee,CL001,unlimited
Alex Blake,C008,06:00,Tuesday,2025-12-16,Foundation,Triceps,Leg Wrap,Harper Lee,CL001,unlimited
Sydney Romero,C011,07:45,Wednesday,2025-12-17,Focus,Back,Leg Wrap,Harper Lee,CL001,unlimited
Alex Blake,C008,11:30,Friday,2025-12-19,Focus,Back,Hamstrings,Harper Lee,CL001,unlimited
Dette Ellis,C013,15:00,Saturday,2025-01-04,Focus,Biceps,Leg Wrap,Harper Davis,CL002,4_per_month
Casey Hugh,C004,19:45,Wednesday,2025-01-15,Focus,Back,Hamstrings,Harper Davis,CL002,4_per_month
Dette Ellis,C013,15:00,Monday,2025-02-10,Advanced,Triceps,Leg Wrap,Harper Davis,CL002,4_per_month
Benton Watts,C006,08:45,Wednesday,2025-02-12,Foundation,Back,Hamstrings,Harper Davis,CL002,4_per_month
Benton Watts,C006,07:15,Thursday,2025-02-13,Advanced,Triceps,Center Glutes,Harper Davis,CL002,4_per_month
Finley Yaroslavsky,C003,07:30,Friday,2025-02-14,Focus,Triceps,Hamstrings,Harper Davis,CL002,4_per_month
Sydney Romero,C011,18:30,Monday,2025-03-03,Foundation,Triceps,Hamstrings,Harper Davis,CL002,4_per_month
Casey Hugh,C004,15:45,Monday,2025-03-17,Foundation,Biceps,Hamstrings,Harper Davis,CL002,4_per_month
Avery Harve,C002,14:00,Saturday,2025-03-22,Focus,Back,Leg Wrap,Harper Davis,CL002,4_per_month
Sydney Romero,C011,15:15,Sunday,2025-03-23,Focus,Biceps,Hamstrings,Harper Davis,CL002,4_per_month
Finley Yaroslavsky,C003,10:45,Monday,2025-03-24,Foundation,Triceps,Hamstrings,Harper Davis,CL002,4_per_month
Alex Blake,C008,14:45,Thursday,2025-03-27,Foundation,Biceps,Outer Glutes,Harper Davis,CL002,4_per_month
Alex Blake,C008,19:30,Monday,2025-04-07,Advanced,Back,Center Glutes,Harper Davis,CL002,4_per_month
Finley Yaroslavsky,C003,11:15,Saturday,2025-04-12,Advanced,Arm Wrap,Center Glutes,Harper Davis,CL002,4_per_month
Jon Flynn,C014,16:00,Wednesday,2025-04-16,Focus,Back,Leg Wrap,Harper Davis,CL002,4_per_month
Devon Knight,C005,07:15,Saturday,2025-04-19,Foundation,Back,Hamstrings,Harper Davis,CL002,4_per_month
Jon Flynn,C014,18:00,Tuesday,2025-04-22,Advanced,Biceps,Center Glutes,Harper Davis,CL002,4_per_month
Kendall Jones,C015,16:00,Saturday,2025-04-26,Focus,Shoulders,Outer Glutes,Harper Davis,CL002,4_per_month
Casey Hugh,C004,17:00,Sunday,2025-04-27,Foundation,Arm Wrap,Outer Glutes,Harper Davis,CL002,4_per_month
Sydney Romero,C011,15:15,Friday,2025-05-23,Foundation,Triceps,Center Glutes,Harper Davis,CL002,4_per_month
Phoenix Green,C012,09:45,Tuesday,2025-05-27,Focus,Arm Wrap,Leg Wrap,Harper Davis,CL002,4_per_month
Jon Flynn,C014,09:45,Saturday,2025-06-07,Foundation,Triceps,Hamstrings,Harper Davis,CL002,4_per_month
Devon Knight,C005,08:00,Monday,2025-06-09,Foundation,Back,Center Glutes,Harper Davis,CL002,4_per_month
Kendall Jones,C015,20:00,Friday,2025-07-04,Focus,Back,Hamstrings,Harper Davis,CL002,4_per_month
Phoenix Green,C012,09:30,Sunday,2025-07-27,Focus,Back,Outer Glutes,Harper Davis,CL002,4_per_month
Sydney Romero,C011,07:30,Wednesday,2025-08-06,Foundation,Back,Leg Wrap,Harper Davis,CL002,4_per_month
Tylor Tquinn,C007,20:00,Thursday,2025-08-14,Focus,Triceps,Outer Glutes,Harper Davis,CL002,4_per_month
Phoenix Green,C012,05:30,Tuesday,2025-08-19,Advanced,Triceps,Hamstrings,Harper Davis,CL002,4_per_month
Dette Ellis,C013,15:15,Thursday,2025-09-04,Foundation,Back,Outer Glutes,Harper Davis,CL002,4_per_month
